blind_id,review_id,problem,review_language,verified_reference,student_attempt,gold_issue_for_rubric,reviewer_response,rater_id,root_issue_correct_0or1,false_issue_added_0or1,completeness_1to5,usable_for_tutor_0or1,notes
R-I2-wrong_attempt-M2,I2:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"Suppose f(x_0)>0 for some x_0. By continuity, f(x)>=f(x_0)/2 on a nondegenerate one-sided or two-sided interval around x_0 contained in [a,b]. Since f is nonnegative elsewhere, the integral over [a,b] is then strictly positive, contradicting that it is zero. Hence no such x_0 exists and f is identically zero.",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,連續非負函數只有一個零點並不能推出恆為零；必須假設存在正值點，再用其正值鄰域導出積分為正。,"[""在步驟「再由連續性可得所有 x 都有 f(x)=0」中，缺了 f(x) \geq 0 這個條件""]",,,,,,
R-I2-wrong_attempt-M3,I2:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"Suppose f(x_0)>0 for some x_0. By continuity, f(x)>=f(x_0)/2 on a nondegenerate one-sided or two-sided interval around x_0 contained in [a,b]. Since f is nonnegative elsewhere, the integral over [a,b] is then strictly positive, contradicting that it is zero. Hence no such x_0 exists and f is identically zero.",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,連續非負函數只有一個零點並不能推出恆為零；必須假設存在正值點，再用其正值鄰域導出積分為正。,"[""學生誤用積分中值定理得出 f(c)=0，但此結論僅表示存在某點 c 使得 f(c)=0，並不能推出 f(x)=0 對所有 x 成立；且未考慮 f(x)≥0 的條件與連續性結合下 f(x)=0 的唯一可能性。"", ""未使用題設中 f(x)≥0 和連續性來推導矛盾，也未處理 f(x)>0 的反證法結構，缺少對正函數積分為零的關鍵分析。""]",,,,,,
R-I3-high_logic-M1,I3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,sign(f) 在零點可能不連續，因此未必是允許的測試函數；合法的連續選擇是 g=f。,"[""學生在選擇 $g(x) = \text{sign}(f(x))$ 時，未證明 $g$ 連續；事實上，$\text{sign}(f)$ 可能不連續（例如，當 $f$ 在 $(a,b)$ 內變號時）。""]",,,,,,
R-I3-high_logic-M2,I3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,sign(f) 在零點可能不連續，因此未必是允許的測試函數；合法的連續選擇是 g=f。,"[ ""sign(f)"" 不連續，故不能當 g；題假設 g 必須連續，此舉違背前提。 ]",,,,,,
R-I3-high_logic-M3,I3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,sign(f) 在零點可能不連續，因此未必是允許的測試函數；合法的連續選擇是 g=f。,"[""The student chose $g(x) = \text{sign}(f(x))$, which is not continuous, contradicting the hypothesis that $g$ must be continuous; thus this choice is invalid and violates the premise of the problem."" ]",,,,,,
R-I3-high_logic_en-M1,I3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",en,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.","Choose g(x)=sign(f(x)). Then the hypothesis gives integral_a^b |f(x)| dx=0, so f=0.",sign(f) need not be continuous at zeros and therefore may not be an admissible test function; g=f is the valid continuous choice.,"[""sign(f) is not continuous — it can't serve as the test function""]",,,,,,
R-I3-high_logic_en-M2,I3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",en,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.","Choose g(x)=sign(f(x)). Then the hypothesis gives integral_a^b |f(x)| dx=0, so f=0.",sign(f) need not be continuous at zeros and therefore may not be an admissible test function; g=f is the valid continuous choice.,"[""The student chose $g(x) = \text{sign}(f(x))$, which is not continuous unless $f(x) = 0$ everywhere, violating the requirement that $g$ must be continuous""]",,,,,,
R-I3-high_logic_en-M3,I3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",en,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.","Choose g(x)=sign(f(x)). Then the hypothesis gives integral_a^b |f(x)| dx=0, so f=0.",sign(f) need not be continuous at zeros and therefore may not be an admissible test function; g=f is the valid continuous choice.,"[
  ""The function sign(f(x)) is not necessarily continuous, even if f is continuous, so it does not satisfy the hypothesis that g must be continuous."",
  ""The choice of g(x) = sign(f(x)) is invalid because sign(f(x)) is not continuous in general (e.g., at zeros of f), and thus cannot be used in the given hypothesis which requires g to be continuous.""
]",,,,,,
R-I3-wrong_attempt-M1,I3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.",取 g(x)=1，就有 integral_a^b f(x) dx=0，因此每個 x 都有 f(x)=0。,連續函數的積分可以為零而函數不恆為零；應利用『每個 g』這個量詞選取 g=f。,"[""The student incorrectly concludes that ∫_a^b f(x) dx = 0 implies f(x) = 0 for all x, without justification or use of continuity; this step lacks mathematical validity as the average value being zero does not imply pointwise zero."" ]",,,,,,
R-I3-wrong_attempt-M2,I3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.",取 g(x)=1，就有 integral_a^b f(x) dx=0，因此每個 x 都有 f(x)=0。,連續函數的積分可以為零而函數不恆為零；應利用『每個 g』這個量詞選取 g=f。,取常函數 $g=1$ 得 $\int f=0$，這只保證平均值為零，不能推出每點為零。要證每點為零，需取 $g$ 為局部鄰域指標函數，才能把單點值傳到積分。,,,,,,
R-I3-wrong_attempt-M3,I3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"The hypothesis holds for every continuous g, so choose g=f. Then integral_a^b f(x)^2 dx=0. The function f^2 is continuous and nonnegative. If f(x_0) were nonzero, continuity would make f^2 bounded below by a positive number on a nondegenerate neighborhood of x_0, forcing the integral to be positive. Thus f(x)=0 everywhere.",取 g(x)=1，就有 integral_a^b f(x) dx=0，因此每個 x 都有 f(x)=0。,連續函數的積分可以為零而函數不恆為零；應利用『每個 g』這個量詞選取 g=f。,"[""由 $ \int_a^b f(x)  dx = 0 $ 推 $ f(x) = 0 $ 對所有 $ x $ 成立 却沒說明 $ f $ 非負""]",,,,,,
R-L1-wrong_attempt-M1,L1:wrong_attempt,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",zh,"Choose M>=0 with |b_n|<=M for every n. If M=0 the result is immediate. Otherwise, given epsilon>0, choose N so that n>=N implies |a_n|<epsilon/M. Then |a_n b_n|<=M|a_n|<epsilon. Therefore a_n b_n tends to zero.",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,有界數列 b_n 未必有極限，因此不能用這種形式的乘法法則。,"[""學生引用極限的乘法法則時，未驗證序列 (b_n) 是否收斂（題目中 (b_n) 只是 bounded，不一定收斂）""]",,,,,,
R-L1-wrong_attempt-M2,L1:wrong_attempt,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",zh,"Choose M>=0 with |b_n|<=M for every n. If M=0 the result is immediate. Otherwise, given epsilon>0, choose N so that n>=N implies |a_n|<epsilon/M. Then |a_n b_n|<=M|a_n|<epsilon. Therefore a_n b_n tends to zero.",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,有界數列 b_n 未必有極限，因此不能用這種形式的乘法法則。,引用乘法法則需要先驗證兩序列都收斂，這裡只知其中一個收斂到零、另一個有界但未必收斂。故此步驟無效。,,,,,,
R-L1-wrong_attempt-M3,L1:wrong_attempt,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",zh,"Choose M>=0 with |b_n|<=M for every n. If M=0 the result is immediate. Otherwise, given epsilon>0, choose N so that n>=N implies |a_n|<epsilon/M. Then |a_n b_n|<=M|a_n|<epsilon. Therefore a_n b_n tends to zero.",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,有界數列 b_n 未必有極限，因此不能用這種形式的乘法法則。,"[""學生錯誤地假設了 lim(b_n) 存在，但題目僅知 (b_n) 界定，並未說它有極限；因此不能套用極限的乘法法則。""]",,,,,,
R-L2-wrong_attempt-M1,L2:wrong_attempt,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",zh,"Let epsilon>0. Continuity of f at L gives delta>0 such that |x-L|<delta implies |f(x)-f(L)|<epsilon. Since a_n->L, there is N such that n>=N implies |a_n-L|<delta. Hence n>=N implies |f(a_n)-f(L)|<epsilon, proving the desired convergence.",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,收斂不表示最終相等；必須把連續性給出的 delta 與數列尾端估計結合。,"[""學生的論證錯誤地假設了 $a_n$ 最後會等於 $L$，但數列趨近於 $L$ 不表示它會達到 $L$，例如 $a_n = L - \frac{1}{n}$ 會趨近於 $L$ 但從不等於 $L$；此處缺乏對數列極限行為的正確理解。""]",,,,,,
R-L2-wrong_attempt-M2,L2:wrong_attempt,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",zh,"Let epsilon>0. Continuity of f at L gives delta>0 such that |x-L|<delta implies |f(x)-f(L)|<epsilon. Since a_n->L, there is N such that n>=N implies |a_n-L|<delta. Hence n>=N implies |f(a_n)-f(L)|<epsilon, proving the desired convergence.",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,收斂不表示最終相等；必須把連續性給出的 delta 與數列尾端估計結合。,這是對極限的嚴重誤解：趨近不意味「最後等於」。教訓：連續性要靠「任意接近」而非「最終相等」來傳遞。,,,,,,
R-L2-wrong_attempt-M3,L2:wrong_attempt,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",zh,"Let epsilon>0. Continuity of f at L gives delta>0 such that |x-L|<delta implies |f(x)-f(L)|<epsilon. Since a_n->L, there is N such that n>=N implies |a_n-L|<delta. Hence n>=N implies |f(a_n)-f(L)|<epsilon, proving the desired convergence.",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,收斂不表示最終相等；必須把連續性給出的 delta 與數列尾端估計結合。,"[""學生錯誤地假設序列 \(a_n\) 最終會等於 \(L\)，但序列收斂到 \(L\) 不保證會達到 \(L\)（例如，序列 \(a_n = L + \frac{1}{n}\) 收斂到 \(L\) 但對所有 \(n\) 有 \(a_n \neq L\)）""]",,,,,,
R-L3-high_logic-M1,L3:high_logic,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",zh,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",x=1 時逐點極限不是零，而且逐點收斂本身不足以交換極限與積分；有界性可給出初等積分估計。,"逐點收斂不能保證可交換極限與積分，除非有額外假設（如一致收斂或可積性）。這裡 $x^n$ 在 $[0,1)$ 收斂到 $0$、在 $1$ 為 $1$，逐點收斂不一致，故不能交換。",,,,,,
R-L3-high_logic-M2,L3:high_logic,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",zh,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",x=1 時逐點極限不是零，而且逐點收斂本身不足以交換極限與積分；有界性可給出初等積分估計。,"[
  ""學生草稿中斷言「逐點收斂一定允許交換極限與積分」，但未驗證此交換是否成立，也未提及函數的可積性或統一收斂條件，屬於缺少必要前提的依據。"",
  ""學生未利用連續性推出 f 在 [0,1] 上有界，這是證明中不可或缺的步驟，且未說明如何從連續性推出有界性。"",
  ""學生未處理 x=1 的情況，當 x=1 時 x^n=1，f(1) 是常數，若 f 不為零，則 f(x)x^n 在 x=1 处不會趨於零，因此僅依逐點趨近無法得出整體積分趨於零，缺乏對積分行為的控制。""
]",,,,,,
R-L3-high_logic-M3,L3:high_logic,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",zh,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",x=1 時逐點極限不是零，而且逐點收斂本身不足以交換極限與積分；有界性可給出初等積分估計。,"[""在斷言 '對每個 x in [0,1]，x^n 都趨近零' 時，未考慮 x=1 的情況，因為在 x=1 時 x^n =1 不趨近於 0"",""從此推斷 f(x)x^n 逐點收斂到零 時，未說明在 x=1 處 f(x)x^n = f(1) 不趨近於 0（除非 f(1)=0）"",""聲稱 '逐點收斂一定允許交換極限與積分' 時，未提及需要一致收斂等條件，而逐點收斂本身不保證交換極限和積分""]",,,,,,
R-L3-high_logic_en-M1,L3:high_logic_en,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",en,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","For every x in [0,1], x^n tends to zero, so f(x)x^n tends pointwise to zero. Pointwise convergence always permits exchanging limit and integral.","At x=1 the pointwise limit is not zero, and pointwise convergence alone does not justify interchanging limit and integral; boundedness gives an elementary integral estimate.","[""Pointwise convergence does NOT permit limit-integral exchange without extra hypotheses — DCT needs it. Here $f$ isn't necessarily integrable or monotone, so you can't cite it freely.""]",,,,,,
R-L3-high_logic_en-M2,L3:high_logic_en,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",en,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","For every x in [0,1], x^n tends to zero, so f(x)x^n tends pointwise to zero. Pointwise convergence always permits exchanging limit and integral.","At x=1 the pointwise limit is not zero, and pointwise convergence alone does not justify interchanging limit and integral; boundedness gives an elementary integral estimate.","[
  ""The claim that pointwise convergence always permits exchanging limit and integral is false without additional conditions (such as uniform convergence or dominated convergence)."",
  ""The student draft fails to justify the interchange of limit and integral, which is essential for proving the limit of the integral equals the integral of the limit."",
  ""The argument does not address the continuity of f or use the boundedness of f on [0,1], which is necessary to establish convergence to zero.""
]",,,,,,
R-L3-high_logic_en-M3,L3:high_logic_en,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",en,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","For every x in [0,1], x^n tends to zero, so f(x)x^n tends pointwise to zero. Pointwise convergence always permits exchanging limit and integral.","At x=1 the pointwise limit is not zero, and pointwise convergence alone does not justify interchanging limit and integral; boundedness gives an elementary integral estimate.","[""Pointwise convergence does not always permit exchanging limit and integral; additional conditions are required.""]",,,,,,
R-L3-wrong_attempt-M1,L3:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",zh,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","函數 x^n 在 [0,1] 上一致收斂到零，所以 f(x)x^n 也一致收斂到零，並可把極限移入積分。","x^n 在 [0,1] 上不一致收斂到零，因為 x=1 時始終為 1；需要直接估計 M/(n+1)。","[""學生聲稱 x^n 在 [0,1] 上一致收斂到零，但這斷言不成立，因為在 x=1 處，x^n =1 對所有 n 成立，故極限為 1 而非 0。""]",,,,,,
R-L3-wrong_attempt-M2,L3:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",zh,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","函數 x^n 在 [0,1] 上一致收斂到零，所以 f(x)x^n 也一致收斂到零，並可把極限移入積分。","x^n 在 [0,1] 上不一致收斂到零，因為 x=1 時始終為 1；需要直接估計 M/(n+1)。","[""學生草稿錯誤地假設了 $f(x)x^n$ 一致收斂於零，但此結論僅在 $f$ 為連續函數時才可能成立，而實際上 $f(x)x^n$ 的收斂性取決於 $f$ 的行為，例如若 $f(1)\ne0$，則 $f(x)x^n$ 在 $x=1$ 附近不會一致趨向零；此外，連續函數在閉區間上不一定能保證乘積函數一致收斂，因此不能直接使用一致收斂來移動極限。""]",,,,,,
R-L3-wrong_attempt-M3,L3:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).",zh,"Continuity on [0,1] makes f bounded: |f(x)|<=M. Therefore |integral_0^1 f(x)x^n dx|<=integral_0^1 |f(x)|x^n dx<=M integral_0^1 x^n dx=M/(n+1). The last quantity tends to zero, so the squeeze theorem gives the result.","函數 x^n 在 [0,1] 上一致收斂到零，所以 f(x)x^n 也一致收斂到零，並可把極限移入積分。","x^n 在 [0,1] 上不一致收斂到零，因為 x=1 時始終為 1；需要直接估計 M/(n+1)。",[「一致收斂」需要 $f$ 是連續、區間有界，這裡只有連續，未必一致。故不能直接引用一致收斂。'],,,,,,
R-S1-wrong_attempt-M1,S1:wrong_attempt,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",zh,"Because (b_n) is bounded, there is M>=0 such that |b_n|<=M for all n. Hence |a_n b_n|<=M|a_n|. Since sum |a_n| converges, the comparison test gives convergence of sum |a_n b_n|. Thus sum a_n b_n converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,有界不代表收斂；應使用一致上界並比較 |a_n b_n| 與 |a_n|。,"[""學生錯誤地假設有界數列 $(b_n)$ 必收斂，這是錯誤的；有界數列不一定收斂，例如 $b_n = (-1)^n$ 是有界的但不收斂。""]",,,,,,
R-S1-wrong_attempt-M2,S1:wrong_attempt,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",zh,"Because (b_n) is bounded, there is M>=0 such that |b_n|<=M for all n. Hence |a_n b_n|<=M|a_n|. Since sum |a_n| converges, the comparison test gives convergence of sum |a_n b_n|. Thus sum a_n b_n converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,有界不代表收斂；應使用一致上界並比較 |a_n b_n| 與 |a_n|。,"[""學生錯誤地聲稱有界數列必收斂，但有界數列不一定收斂（例如數列 $(-1)^n$）"", ""學生假設 $b_n$ 收斂到某個 $B$ 但未證明 $b_n$ 收斂（題目僅給出 $b_n$ 有界，未給出收斂性）""]",,,,,,
R-S1-wrong_attempt-M3,S1:wrong_attempt,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",zh,"Because (b_n) is bounded, there is M>=0 such that |b_n|<=M for all n. Hence |a_n b_n|<=M|a_n|. Since sum |a_n| converges, the comparison test gives convergence of sum |a_n b_n|. Thus sum a_n b_n converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,有界不代表收斂；應使用一致上界並比較 |a_n b_n| 與 |a_n|。,[「有界不一定收斂」這個引理本身就需要證，不能當前提使用。],,,,,,
R-S2-wrong_attempt-M1,S2:wrong_attempt,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",zh,"By monotone convergence, x_n converges to some ell. Continuity of sine gives sin(x_n)->sin(ell), so the entire sine sequence converges and therefore has a convergent subsequence. It need not be increasing: x_n=pi-1/n is increasing and bounded above by pi, while sin(x_n)=sin(1/n) is decreasing for n>=1.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,連續性不保持單調性，而且 sine 並非在整條實數軸上遞增；收斂性應由 x_n 本身收斂推出。,"[""在 '所以 sin(x_n) 也遞增' 這一步，學生錯誤地斷言 $(\sin x_n)$ 必須遞增，但實際上不一定（例如 $x_n = \pi - 1/n$ 時 $(\sin x_n)$ 是遞減的）""]",,,,,,
R-S2-wrong_attempt-M2,S2:wrong_attempt,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",zh,"By monotone convergence, x_n converges to some ell. Continuity of sine gives sin(x_n)->sin(ell), so the entire sine sequence converges and therefore has a convergent subsequence. It need not be increasing: x_n=pi-1/n is increasing and bounded above by pi, while sin(x_n)=sin(1/n) is decreasing for n>=1.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,連續性不保持單調性，而且 sine 並非在整條實數軸上遞增；收斂性應由 x_n 本身收斂推出。,"[""遞增性並非連續傳遞：$\sin$ 在 $\pi$ 附近是遞減的，故不能由 $x_n$ 遞增推出 $\sin(x_n)$ 遞增。""]",,,,,,
R-S2-wrong_attempt-M3,S2:wrong_attempt,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",zh,"By monotone convergence, x_n converges to some ell. Continuity of sine gives sin(x_n)->sin(ell), so the entire sine sequence converges and therefore has a convergent subsequence. It need not be increasing: x_n=pi-1/n is increasing and bounded above by pi, while sin(x_n)=sin(1/n) is decreasing for n>=1.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,連續性不保持單調性，而且 sine 並非在整條實數軸上遞增；收斂性應由 x_n 本身收斂推出。,"[
  ""在第一步中，學生錯誤地斷言「因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增」，這是一個數學錯誤：連續函數不保留下列序列的遞增性，例如反例 x_n = π - 1/n 是遞增且有界的，但 sin(x_n) = sin(1/n) 是遞減的，因此此斷言不成立。"",
  ""學生提到「它又有界，因此有收斂子數列」，但未明確引用或引用 Bolzano-Weierstrass 定理的前提——即每一個有界數列都有收斂子數列——此處缺少必要的依據與前提陳述。""
]",,,,,,
