problem_id,topic,difficulty,statement,student_attempt_zh,target_history_tokens,interference,response,blind_id,教學契約保持_1to5,數學方向正確_1to5,是否只推進一個步驟_1to5,是否抓到最根本漏洞_1to5,評語
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,0,neutral,有界數列不一定要收斂，例如 \(b_n = (-1)^n\) 就有界卻不收斂。若用它的例子，\(a_n b_n\) 的絕對值被誰控制？,AD-0196,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,0,neutral,"你選擇了 $g(x) = \text{sign}(f(x))$，這會使 $\int_a^b f(x)g(x)\,dx = \int_a^b |f(x)|\,dx$。但問題是：**sign(f(x)) 在 f(x)=0 的點上是否連續？**  

請問：當 $f$ 在某點為零時，$\text{sign}(f(x))$ 是否仍能作為一個連續函數使用？",AD-0116,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,2048,conflict,"你說「導數是連續的」，這是正確的前提嗎？請確認：題目只給出 \(f\) 在 \([a,b]\) 上連續、在 \((a,b)\) 上可微，且 \(f'(x) \neq 0\)，是否足以推出 \(f'\) 是連續的？",AD-0103,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,0,neutral,"你說「最後 aₙ 會等於 L」，這是否正確？  
請想想：數列趨近於 L，意味著什麼？它會真的在某項之後等於 L 吗？",AD-0066,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,conflict,「f'(x)>0」推出的是斜率為正，而不是函數值為正。斜率為正只保證函數是遞增的，而遞增函數才是一對一。你能舉一個斜率為正卻非正的函數嗎？,AD-0168,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",0,neutral,"你說「把 x 換成 1−x」，這一步的邏輯依賴於什麼？請問：為什麼變數替換後積分區間仍為 [0,1] 就能推出兩者相等？",AD-0106,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,8192,neutral,「積分平均值是零」這個說法本身就有問題，因為平均值是 \(\frac1{b-a}\int f\)，而題目只給 \(\int f=0\)。實際上哪個定理能給出「存在 c 使 \(f(c)=0\)」?,AD-0189,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",2048,conflict,"你說「因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——這一步的邏輯漏洞在於：**你假設了 f 的值域是可數的，但實際上 f 可以取任意有理數值，即使有理數可數，也不能推出 f 在不可數區間上取值重複**。

請問：  
**如果 f 是連續函數，且只取有理數值，那麼它是否可能在 [a,b] 上非常數？**  
（提示：考慮連續函數的值域性質）",AD-0013,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,2048,conflict,你說「最後 aₙ 會等於 L」，這是否符合數列趨近的定義？請想想：數列趨近某點，是表示它越來越接近，還是真的會「等於」那個點？,AD-0143,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",2048,conflict,"你說「[a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——但這一步成立嗎？為什麼函數取值在有理數上，就一定會有兩個不同點映射到相同的有理數？",AD-0088,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,8192,neutral,,AD-0264,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,8192,conflict,「導數永不為零」並不能推出「導數同號」，因為導數可能在某段為正、某段為負。要嚴謹，得先由連續性得到什麼？,AD-0180,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,8192,conflict,"你假設「導數是連續的」來推出 f' 同號，但題目只給出 f 是連續且在 (a,b) 可微，並未說 f' 連續。  
**請問：如果 f' 不連續，但仍然不為零，是否仍能保證 f 單調？**  

（提示：考慮反例：存在可微但導數不連續、且不變號的例子，或導數跳躍但函數仍單調）",AD-0030,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,conflict,當 x < y 時，積分 ∫_y^x f'(t) dt 的符號是什麼？,AD-0248,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",2048,neutral,"你說「逐點收斂一定允許交換極限與積分」——這正是目前最根本的漏洞。

請問：在什麼條件下，我們可以從「逐點收斂」推出「可交換極限與積分」？  
（特別是，這裡的函數 f 是連續的，但 x^n 在 [0,1] 上不是一緻收斂，也不是有界可積的平凡情形。）",AD-0072,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",0,neutral,"你說「逐點收斂一定允許交換極限與積分」——這是否成立？  
請問：在什麼條件下，可以從逐點收斂推出 \(\lim \int = \int \lim\)？",AD-0071,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,neutral,f(x) 是否可能為負數？,AD-0242,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",2048,neutral,"你說「x^n 在 [0,1] 上逐點趨近於 0」，這是真的嗎？但請注意：在 x = 1 的鄰域附近，x^n 會如何行為？這是否影響整體積分的收斂性？",AD-0147,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,8192,conflict,你偷加了 \(g\) 的連續性假設，但 \(f\) 只被假設連續。\(g\) 能取到 sign(f) 嚴格來說不合法。你能改用哪個合法的 \(g\)？,AD-0195,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,0,neutral,正弦函數是否單調？,AD-0276,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",2048,neutral,"你說「[a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——但這一步成立的前提是：f 的值域是可數的。請問，f 取的值是「有理數」，而有理數可數，這是否足以保證 f 在不可數的 [a,b] 上取值時，必定有重複的輸出？為什麼？",AD-0087,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",0,neutral,換元法要嚴謹地寫出變動規則，不能只說「區間相同就相等」。若把 $x$ 换成 $1-x$，新的積分範圍是誰決定的？,AD-0181,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,0,neutral,你取了 $g(x) = \text{sign}(f(x))$，這是一個連續函數嗎？,AD-0041,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,conflict,「區間相同」不是理由，因為有許多不同的函數在相同區間積分值不同。真正要證的是變動變數後的積分等於原積分。你能寫出變動變數後的積分表達式嗎?,AD-0185,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,8192,neutral,有界數列是否一定收斂？,AD-0274,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",8192,conflict,"你認為「逐點收斂一定允許交換極限與積分」——這正是目前最根本的漏洞。

請問：在什麼條件下，我們可以從「逐點收斂」推出「可交換極限與積分」？  
（特別是，這裡的函數 $f(x)x^n$ 在 $[0,1]$ 上是否滿足那個條件？）",AD-0075,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,0,neutral,"問題來了：你假設了 lim(b_n) 存在，但題目只說 (b_n) 是有界的，並沒有說它有極限。  
請問：如果 (b_n) 沒有極限，是否還能用「極限的乘法法則」？",AD-0061,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,0,neutral,你說「|x|/r < 1」是因為級數在 r 收斂，這一步成立嗎？為什麼 |x|/r < 1 能推出比值判別法適用？,AD-0131,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,2048,neutral,題目中是否有條件保證 f' 連續？,AD-0252,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,0,neutral,"積分論證需要 $f$ 在 $[x,y]$ 上可積，但題目只說可微。可微函數在閉區間上一定連續，而連續函數才保證可積。這一步你怎麼補上?",AD-0171,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,2048,neutral,比值判別法需要 $c_n$ 的符號與大小不隨 $n$ 變化，但這裡的係數 $c_n$ 可以是負的。你用的是絕對值，所以比值是 $|x|/r$，但這個比值要小於什麼才能保證收斂？,AD-0207,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,2048,conflict,"你說「函數從不等於零，所以它不可能變號」——這聽起來很直覺，但問題是：**連續性**還沒有被用上。

請問：如果沒有連續性，是否存在一個不為零的函數，在區間內變號？舉個簡單例子看看。",AD-0008,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,8192,neutral,"你說「f'(x) > 0 所以 f(x) > 0」，這是一個關鍵錯誤——導數為正並不能推出函數值為正。

請問：你怎麼從「f'(x) > 0」推出「f(x) > 0」的？  
（提示：導數描述的是變化率，不是函數值本身的符號。）",AD-0019,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,conflict,"若f在[a,b]上連續，且f(x)≠0，但f在區間內有正有負，會導致什麼？",AD-0235,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",0,neutral,這裡有一個常見誤解：「inf 等於每個值」不等於「inf 大於 0」。若 $f$ 在某點非常小，$c=\inf f$ 可能是什麼？,AD-0151,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,8192,neutral,你說「最後 aₙ 會等於 L」，這是否符合數列收斂的定義？請問：數列收斂到 L 時，是否意味著某項 aₙ 真的會等於 L？,AD-0144,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,2048,conflict,"sign(f(x)) 在 [a,b] 上是否連續？",AD-0268,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,8192,conflict,題目中是否明確指出 f' 連續？,AD-0255,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,8192,conflict,「f'(x)>0」推出的是斜率為正，而不是函數值為正。斜率為正只保證什麼樣的函數值相對大小？,AD-0170,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,8192,neutral,「遞增」是保留在外層的序列本身，不是被內層函數傳遞的性質。sine 是遞減的，所以 \(\sin(x_n)\) 總是比 \(\sin(x_{n+1})\) 小，這與你的結論矛盾。要修正，得先問：\(\sin(x_n)\) 的單調性由誰決定？,AD-0204,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",2048,conflict,,AD-0228,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,conflict,"積分路線需要一個前提：\(f'\) 必須在 \([x,y]\) 上可積（例如連續），但題目只給出有界。若 \(f'\) 只是任意有界但不連續，積分是否仍成立？",AD-0173,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",0,neutral,「不可數對可數」這個直覺其實不夠嚴謹，因為可數集合可以有無限多個元素。要嚴謹，你該問：若 \(f\) 取可數多個不同的值，這些值能被如何排列？,AD-0161,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,8192,neutral,你說「把 |f'| ≤ M 從 y 積分到 x」，這意味著你打算用積分來表示 f(x) − f(y)。但積分法要成立，必須先確保 f'(x) 是可積的，且 f(x) − f(y) 可寫成 ∫_y^x f'(t) dt。請問：在什麼條件下，我們可以從 f 的可微性推出 f(x) − f(y) = ∫_y^x f'(t) dt？,AD-0099,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,2048,neutral,"你說「因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增」——這是否成立？  
請問：sine 函數是單調的嗎？當 x_n 遞增時，sin(x_n) 是否一定遞增？舉一個反例看看。",AD-0052,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,2048,conflict,你說「級數在 r 收斂」，那麼能不能明確指出，你用的比值判別法是針對哪個級數？是否真的有 \( \left|\frac{c_{n+1}}{c_n}\right| \) 這個比值存在？,AD-0133,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,2048,conflict,「積分平均值是零」這個說法本身就有問題，因為積分平均值是 \(\frac1{b-a}\int f\)，而不是 \(\int f\)。若 \(\int f=0\)，那平均值才是什麼？,AD-0188,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,0,neutral,為什麼你認為「aₙ 最後會等於 L」能推出 f(aₙ) → f(L)？序列趨近不代表會「達到」L，這點有沒有問題？,AD-0141,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,2048,conflict,比值判別法需要 $c_n$ 的符號與大小不隨 $n$ 變化，但這裡的係數 $c_n$ 可以是負的。你用的是絕對值，所以比值是 $|c_{n+1}|/|c_n|$，它和 $|x|/r$ 的比較需要什麼前提？,AD-0208,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,conflict,"你說「函數從不等於零，所以它不可能變號」——這聽起來很直覺，但問題是：**為什麼「不等於零」就意味著「不會變號」？**

請問：你有考慮過「連續」這個條件在其中扮演什麼角色嗎？  
例如，如果函數只是「不為零」，但沒有連續性，是否可能在區間內跳躍變號？  

請你先回答：  
👉 **若 \(f\) 不連續，且 \(f(x) \neq 0\)，是否仍可能在 \([a,b]\) 上變號？舉一個反例。**",AD-0010,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,2048,neutral,,AD-0282,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,0,neutral,"sign(f(x)) 在 [a,b] 上是否連續？",AD-0266,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",8192,neutral,「不可數對可數」這個直覺其實不夠嚴謹，因為可數集合可以有無限多個不同元素。要嚴謹，你應該問：若 \(f\) 取可數多個值，這些值能被怎樣排列成序列？,AD-0164,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,8192,neutral,當 $x < y$ 時，積分 $\int_y^x f'(t)  dt$ 的符號是正還是負？,AD-0249,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,8192,neutral,你說「級數在 r 收斂」，那麼能不能明確寫出這個條件對應到什麼樣的量詞與假設？尤其是關於 $c_n$ 的行為？,AD-0134,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,0,neutral,你用了「|x|/r < 1」來比較，但這一步的前提是什麼？你如何知道 |c_{n+1}/c_n| 的行為能被 r 控制？,AD-0056,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,2048,conflict,有界數列是否一定收斂？,AD-0273,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",8192,neutral,下確界 f(x) 會是 0 吗？,AD-0229,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,neutral,你說「把 |f'| ≤ M 從 y 積分到 x」，這聽起來像在用微分基本定理。但積分的前提是什麼？你是否明確寫出 f(x) − f(y) 的表達式，並確認它與 f'(t) 的關係？,AD-0097,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,neutral,積分路線需要「f 可微」推出「f 可積」，但這門課還沒建立可積性的理論。你能找到一個只靠均值定理的、更基本的路線嗎?,AD-0172,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,2048,neutral,"你選取了 $ g(x) = \operatorname{sign}(f(x)) $，但這個函數是否在 $[a,b]$ 上**連續**？為什麼？",AD-0042,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,8192,conflict,你說「最後 aₙ 會等於 L」，這是否符合數列趨近的定義？請想想：數列趨近某點，是表示它越來越接近，還是一定會「達到」那個點？,AD-0145,,,,,
